162 [(1070, 2364) (1249, 2543)] 0.9280736610133242 1
162 [(3359, 2304) (3538, 2483)] 0.46606980464087894 0
163 [(3339, 2304) (3518, 2483)] 0.43967455243425063 0
163 [(1070, 2364) (1249, 2543)] 0.878214833945944 1
164 [(3339, 2304) (3518, 2483)] 0.47724270666878765 0
164 [(1070, 2364) (1249, 2543)] 0.8688663317464607 1
165 [(1070, 2364) (1249, 2543)] 0.904123178770472 1
166 [(1070, 2364) (1249, 2543)] 0.8706198801102325 1
167 [(1070, 2364) (1249, 2543)] 0.8473643955817728 1
168 [(1070, 2364) (1249, 2543)] 0.8680498835650381 1
169 [(1070, 2364) (1249, 2543)] 0.8900217329606276 1
170 [(1070, 2364) (1249, 2543)] 0.8933504342445995 1
171 [(1070, 2364) (1249, 2543)] 0.8505705723344678 1
172 [(1070, 2364) (1249, 2543)] 0.9256785560962099 1
172 [(3299, 2324) (3478, 2503)] 0.45165835506166285 0
173 [(1070, 2364) (1249, 2543)] 0.8796617473573924 1
174 [(1070, 2364) (1249, 2543)] 0.8478276473106617 1
175 [(1070, 2364) (1249, 2543)] 0.8524192566701893 1
176 [(1070, 2364) (1249, 2543)] 0.8883681305580924 1
176 [(3279, 2324) (3459, 2503)] 0.4605125741294123 0
177 [(1070, 2364) (1249, 2543)] 0.8917142246489853 1
178 [(1070, 2364) (1249, 2543)] 0.8398285885282275 1
179 [(1070, 2364) (1249, 2543)] 0.8546679313458393 1
180 [(1070, 2364) (1249, 2543)] 0.8933479485670726 1
181 [(1070, 2364) (1249, 2543)] 0.8623876050089334 1
182 [(1070, 2364) (1249, 2543)] 0.8718875138370205 1
183 [(1070, 2364) (1249, 2543)] 0.8796617473573924 1
184 [(1070, 2364) (1249, 2543)] 0.9176295353953529 1
184 [(3259, 2324) (3439, 2503)] 0.3993122396357986 0
185 [(1070, 2364) (1249, 2543)] 0.8769023695013004 1
185 [(3259, 2324) (3439, 2503)] 0.4182741259147966 0
186 [(1070, 2364) (1249, 2543)] 0.8717874439883919 1
187 [(1070, 2364) (1249, 2543)] 0.8611201677152209 1
188 [(1070, 2364) (1249, 2543)] 0.9135332774663746 1
188 [(3259, 2324) (3439, 2503)] 0.4250540509716468 0
189 [(1070, 2364) (1249, 2543)] 0.8858276761975952 1
189 [(3259, 2324) (3439, 2503)] 0.43177997787466804 0
190 [(3259, 2324) (3439, 2503)] 0.37348555962481333 0
190 [(1070, 2364) (1249, 2543)] 0.8809201970166894 1
191 [(1070, 2364) (1249, 2543)] 0.8534998354158396 1
191 [(3259, 2324) (3439, 2503)] 0.3966832243987613 0
192 [(1070, 2364) (1249, 2543)] 0.8718875138370205 1
192 [(3259, 2324) (3439, 2503)] 0.3482309639620328 0
193 [(1070, 2364) (1249, 2543)] 0.8858276761975952 1
193 [(3259, 2324) (3439, 2503)] 0.34734855953561505 0
194 [(1070, 2364) (1249, 2543)] 0.8754973405710671 1
194 [(3259, 2324) (3439, 2503)] 0.38526298214410004 0
195 [(1070, 2364) (1249, 2543)] 0.8889398321190314 1
195 [(3259, 2324) (3439, 2503)] 0.3868984665251165 0
196 [(1070, 2364) (1249, 2543)] 0.8451559006742615 1
196 [(3259, 2304) (3439, 2483)] 0.39698772683656525 0
197 [(3259, 2304) (3439, 2483)] 0.39070568548714274 0
197 [(1070, 2364) (1249, 2543)] 0.8893156921360704 1
198 [(3259, 2304) (3439, 2483)] 0.47966774790776096 0
198 [(1070, 2364) (1249, 2543)] 0.8556584625002317 1
199 [(3259, 2304) (3439, 2483)] 0.4406764449426185 0
199 [(1090, 2368) (1240, 2517)] 0.8500948980268794 1
200 [(3259, 2304) (3439, 2483)] 0.45826450687925463 0
200 [(1070, 2364) (1249, 2543)] 0.8778981784378128 1
201 [(3259, 2304) (3439, 2483)] 0.43759800218751327 0
201 [(1070, 2364) (1249, 2543)] 0.862375326347717 1
202 [(3259, 2304) (3439, 2483)] 0.372652517094955 0
202 [(1070, 2364) (1249, 2543)] 0.9085652006644591 1
203 [(3259, 2304) (3439, 2483)] 0.4178114084722536 0
203 [(1070, 2364) (1249, 2543)] 0.84231839538889 1
204 [(3259, 2304) (3439, 2483)] 0.4134058907532002 0
204 [(1070, 2364) (1249, 2543)] 0.8491014320167074 1
205 [(3259, 2304) (3439, 2483)] 0.4191974475887645 0
205 [(1070, 2364) (1249, 2543)] 0.9058299184226183 1
206 [(1070, 2364) (1249, 2543)] 0.8484992655181802 1
206 [(3240, 2304) (3419, 2483)] 0.40367798817988404 0
207 [(1070, 2364) (1249, 2543)] 0.8373595303065677 1
207 [(3259, 2284) (3439, 2463)] 0.41367679006856123 0
208 [(3240, 2304) (3419, 2483)] 0.42538300150815 0
208 [(1090, 2364) (1269, 2543)] 0.8222415314652615 1
209 [(3240, 2304) (3419, 2483)] 0.4275608148994303 0
209 [(1090, 2364) (1269, 2543)] 0.8259425392113182 1
210 [(3240, 2304) (3419, 2483)] 0.42371337220363153 0
210 [(1090, 2364) (1269, 2543)] 0.8001918758806252 1
211 [(3240, 2304) (3419, 2483)] 0.43522067967157996 0
211 [(1070, 2364) (1249, 2543)] 0.8377819363887414 1
